time,setpoint,velocity,error,control
2.540,100.00,101.0524,-1.4377,8.2175
2.550,100.00,101.4314,-1.0524,12.0000
2.560,100.00,101.0460,-1.4314,8.2164
2.570,100.00,101.4251,-1.0460,12.0000
2.580,100.00,101.0397,-1.4251,8.2153
2.590,100.00,101.4189,-1.0397,12.0000
2.600,100.00,101.0333,-1.4189,8.2142
2.610,100.00,101.4127,-1.0333,12.0000
2.620,100.00,101.0270,-1.4127,8.2131
2.630,100.00,101.4065,-1.0270,12.0000
2.640,100.00,101.0208,-1.4065,8.2120
2.650,100.00,101.4003,-1.0208,12.0000
2.660,100.00,101.0145,-1.4003,8.2109
2.670,100.00,101.3942,-1.0145,12.0000
2.680,100.00,101.0083,-1.3942,8.2099
2.690,100.00,101.3882,-1.0083,12.0000
2.700,100.00,101.0022,-1.3882,8.2088
2.710,100.00,101.3821,-1.0022,12.0000
2.720,100.00,100.9960,-1.3821,8.2077
2.730,100.00,101.3761,-0.9960,12.0000
2.740,100.00,100.9899,-1.3761,8.2067
2.750,100.00,101.3701,-0.9899,12.0000
2.760,100.00,100.9838,-1.3701,8.2056
2.770,100.00,101.3642,-0.9838,12.0000
2.780,100.00,100.9778,-1.3642,8.2046
2.790,100.00,101.3582,-0.9778,12.0000
2.800,100.00,100.9718,-1.3582,8.2035
2.810,100.00,101.3523,-0.9718,12.0000
2.820,100.00,100.9658,-1.3523,8.2025
2.830,100.00,101.3465,-0.9658,12.0000
2.840,100.00,100.9599,-1.3465,8.2015
2.850,100.00,101.3407,-0.9599,12.0000
2.860,100.00,100.9539,-1.3407,8.2004
2.870,100.00,101.3349,-0.9539,12.0000
2.880,100.00,100.9480,-1.3349,8.1994
2.890,100.00,101.3291,-0.9480,12.0000
2.900,100.00,100.9422,-1.3291,8.1984
2.910,100.00,101.3233,-0.9422,12.0000
2.920,100.00,100.9363,-1.3233,8.1974
2.930,100.00,101.3176,-0.9363,12.0000
2.940,100.00,100.9305,-1.3176,8.1964
2.950,100.00,101.3119,-0.9305,12.0000
2.960,100.00,100.9248,-1.3119,8.1954
2.970,100.00,101.3063,-0.9248,12.0000
2.980,100.00,100.9190,-1.3063,8.1944
2.990,100.00,101.3006,-0.9190,12.0000
3.000,100.00,100.9133,-1.3006,8.1934
3.010,100.00,101.2950,-0.9133,12.0000
3.020,100.00,100.9076,-1.2950,8.1924
3.030,100.00,101.2895,-0.9076,12.0000
3.040,100.00,100.9020,-1.2895,8.1914
3.050,100.00,101.2839,-0.9020,12.0000
3.060,100.00,100.8963,-1.2839,8.1905
3.070,100.00,101.2784,-0.8963,12.0000
3.080,100.00,100.8907,-1.2784,8.1895
3.090,100.00,101.2729,-0.8907,12.0000
3.100,100.00,100.8852,-1.2729,8.1885
3.110,100.00,101.2675,-0.8852,12.0000
3.120,100.00,100.8796,-1.2675,8.1876
3.130,100.00,101.2620,-0.8796,12.0000
3.140,100.00,100.8741,-1.2620,8.1866
3.150,100.00,101.2566,-0.8741,12.0000
3.160,100.00,100.8686,-1.2566,8.1857
3.170,100.00,101.2513,-0.8686,12.0000
3.180,100.00,100.8632,-1.2513,8.1847
3.190,100.00,101.2459,-0.8632,12.0000
3.200,100.00,100.8578,-1.2459,8.1838
3.210,100.00,101.2406,-0.8578,12.0000
3.220,100.00,100.8524,-1.2406,8.1828
3.230,100.00,101.2353,-0.8524,12.0000
3.240,100.00,100.8470,-1.2353,8.1819
3.250,100.00,101.2300,-0.8470,12.0000
3.260,100.00,100.8416,-1.2300,8.1810
3.270,100.00,101.2248,-0.8416,12.0000
3.280,100.00,100.8363,-1.2248,8.1800
3.290,100.00,101.2196,-0.8363,12.0000
3.300,100.00,100.8310,-1.2196,8.1791
3.310,100.00,101.2144,-0.8310,12.0000
3.320,100.00,100.8258,-1.2144,8.1782
3.330,100.00,101.2092,-0.8258,12.0000
3.340,100.00,100.8205,-1.2092,8.1773
3.350,100.00,101.2041,-0.8205,12.0000
3.360,100.00,100.8153,-1.2041,8.1764
3.370,100.00,101.1990,-0.8153,12.0000
3.380,100.00,100.8101,-1.1990,8.1755
3.390,100.00,101.1939,-0.8101,12.0000
3.400,100.00,100.8050,-1.1939,8.1746
3.410,100.00,101.1889,-0.8050,12.0000
3.420,100.00,100.7998,-1.1889,8.1737
3.430,100.00,101.1838,-0.7998,12.0000
3.440,100.00,100.7947,-1.1838,8.1728
3.450,100.00,101.1788,-0.7947,12.0000
3.460,100.00,100.7896,-1.1788,8.1720
3.470,100.00,101.1739,-0.7896,12.0000
3.480,100.00,100.7846,-1.1739,8.1711
3.490,100.00,101.1689,-0.7846,12.0000
3.500,100.00,100.7796,-1.1689,8.1702
3.510,100.00,101.1640,-0.7796,12.0000
